"subject","model","beta","log_likelihood"
510,"Equity",2.5,-41.2301326341326
510,"Exploitation",0,-56.1449216253556
510,"General",0,-56.1449216253556
510,"Learning",1,-54.0403731994091
510,"Planning",10,-3.75599132092199
512,"Equality",0,-56.1449216253556
512,"Equity",2,-47.6740675263042
512,"Exploitation",0,-56.1449216253556
512,"General",0,-56.1449216253556
512,"Learning",1.5,-51.8540487456891
512,"Planning",7.5,-25.689650081113
513,"Equality",0,-56.1449216253556
513,"Equity",2.5,-41.2301326341326
513,"Exploitation",0,-56.1449216253556
513,"General",0,-56.1449216253556
513,"Learning",1,-54.0403731994091
513,"Planning",10,-3.75599132092199
514,"Equality",0,-56.1449216253556
514,"Equity",1,-52.0294772611993
514,"Exploitation",0,-56.1449216253556
514,"General",0,-56.1449216253556
514,"Learning",1.5,-52.9340487456891
514,"Planning",5.5,-35.9046104403863
515,"Equality",0,-56.1449216253556
515,"Equity",3.5,-36.8854211310804
515,"Exploitation",0,-56.1449216253556
515,"General",0,-56.1449216253556
515,"Learning",1.5,-52.0040487456891
515,"Planning",6,-33.1616191190739
516,"Equality",0,-56.1449216253556
516,"Equity",1,-53.4994772611993
516,"Exploitation",0,-56.1449216253556
516,"General",0,-56.1449216253556
516,"Learning",1.5,-53.4890487456891
516,"Planning",6,-33.1016191190739
517,"Equality",0,-56.1449216253556
517,"Equity",3,-38.6306287894951
517,"Exploitation",0,-56.1449216253556
517,"General",0,-56.1449216253556
517,"Learning",1.5,-52.8290487456891
517,"Planning",5.5,-36.3446104403863
518,"Equality",0,-56.1449216253556
518,"Equity",2.5,-41.2301326341326
518,"Exploitation",0,-56.1449216253556
518,"General",0,-56.1449216253556
518,"Learning",1,-54.0403731994091
518,"Planning",10,-3.75599132092199
519,"Equality",0,-56.1449216253556
519,"Equity",2.5,-43.8051326341326
519,"Exploitation",0,-56.1449216253556
519,"General",0,-56.1449216253556
519,"Learning",1.5,-53.6990487456891
519,"Planning",6,-34.3616191190739
520,"Equality",0,-56.1449216253556
520,"Equity",2.5,-44.1551326341326
520,"Exploitation",0,-56.1449216253556
520,"General",0,-56.1449216253556
520,"Learning",1.5,-53.1590487456891
520,"Planning",6,-34.4816191190739
521,"Equality",0,-56.1449216253556
521,"Equity",2.5,-43.1051326341326
521,"Exploitation",0,-56.1449216253556
521,"General",0,-56.1449216253556
521,"Learning",1,-53.9903731994091
521,"Planning",10,-7.25599132092199
522,"Equality",0,-56.1449216253556
522,"Equity",0,-56.1449216253556
522,"Exploitation",2.5,-47.259029036759
522,"General",0,-56.1449216253556
522,"Learning",1,-54.9203731994092
522,"Planning",0,-56.1449216253556
523,"Equality",0,-56.1449216253556
523,"Equity",0.5,-55.914040274033
523,"Exploitation",1.5,-53.623476014878
523,"General",0.5,-55.1784814073075
523,"Learning",4.5,-37.9209723649064
523,"Planning",1.5,-53.8937149422812
524,"Equality",0,-56.1449216253556
524,"Equity",0,-56.1449216253556
524,"Exploitation",0,-56.1449216253556
524,"General",0,-56.1449216253556
524,"Learning",0,-56.1449216253556
524,"Planning",0,-56.1449216253556
525,"Equality",0,-56.1449216253556
525,"Equity",0.5,-54.739040274033
525,"Exploitation",0.5,-55.6038136516197
525,"General",0.5,-54.6434814073074
525,"Learning",3,-45.2141631418183
525,"Planning",1.5,-54.4637149422812
526,"Equality",0,-56.1449216253556
526,"Equity",2.5,-44.1301326341326
526,"Exploitation",0,-56.1449216253556
526,"General",0.5,-55.9984814073074
526,"Learning",1,-54.7003731994091
526,"Planning",3.5,-46.9959516772309
527,"Equality",0,-56.1449216253556
527,"Equity",2,-44.5940675263042
527,"Exploitation",0,-56.1449216253556
527,"General",0,-56.1449216253556
527,"Learning",2.5,-47.44736356987
527,"Planning",4.5,-40.7468816082792
528,"Equality",0,-56.1449216253556
528,"Equity",3,-39.3506287894951
528,"Exploitation",0,-56.1449216253556
528,"General",0,-56.1449216253556
528,"Learning",1.5,-53.1890487456891
528,"Planning",7,-27.3332348399141
529,"Equality",0,-56.1449216253556
529,"Equity",3,-40.8506287894951
529,"Exploitation",0,-56.1449216253556
